"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
Rwanda,133170,0.0,1468.0,0.0,131634.0,0.0,68.0,9792.0,108.0,5959042.0,438150.0,13600464.0,Africa,2023-02-26
Cameroon,124328,0.0,1965.0,0.0,122333.0,0.0,30.0,4454.0,70.0,1751774.0,62762.0,27911548.0,Africa,2023-02-26
Malta,117338,0.0,827.0,0.0,115923.0,0.0,588.0,264255.0,1862.0,2111209.0,4754622.0,444033.0,Europe,2023-02-26
Barbados,106645,0.0,575.0,0.0,106057.0,0.0,13.0,370266.0,1996.0,794426.0,2758203.0,288023.0,North America,2023-02-26
Angola,105205,0.0,1931.0,0.0,103250.0,0.0,24.0,3004.0,55.0,1499795.0,42818.0,35027343.0,Africa,2023-02-26
Channel Islands,101320,0.0,227.0,0.0,100975.0,0.0,118.0,574171.0,1286.0,1252808.0,7099551.0,176463.0,Europe,2023-02-26
French Guiana,98041,0.0,420.0,0.0,11254.0,0.0,86367.0,312065.0,1337.0,651257.0,2072951.0,314169.0,South America,2023-02-26
DRC,95646,0.0,1464.0,0.0,84282.0,0.0,9900.0,1004.0,15.0,846704.0,8890.0,95240792.0,Africa,2023-02-26
Senegal,88917,0.0,1971.0,0.0,86938.0,0.0,8.0,5037.0,112.0,1146543.0,64946.0,17653671.0,Africa,2023-02-26
Malawi,88681,0.0,2686.0,0.0,85542.0,0.0,453.0,4394.0,133.0,624784.0,30959.0,20180839.0,Africa,2023-02-26
Ivory Coast,88182,0.0,834.0,0.0,87299.0,0.0,49.0,3179.0,30.0,1678025.0,60486.0,27742298.0,Africa,2023-02-26
Suriname,82227,0.0,1400.0,0.0,,,,137773.0,2346.0,240907.0,403644.0,596831.0,South America,2023-02-26
New Caledonia,79876,0.0,314.0,0.0,79557.0,0.0,5.0,274568.0,1079.0,98964.0,340182.0,290915.0,Australia/Oceania,2023-02-26
French Polynesia,77957,0.0,649.0,0.0,,,,274338.0,2284.0,0.0,0.0,284164.0,Australia/Oceania,2023-02-26
Eswatini,74199,0.0,1423.0,0.0,72726.0,0.0,50.0,62625.0,1201.0,1048704.0,885119.0,1184817.0,Africa,2023-02-26
Guyana,73066,0.0,1298.0,0.0,71742.0,0.0,26.0,92017.0,1635.0,721408.0,908523.0,794045.0,South America,2023-02-26
Belize,70740,0.0,688.0,0.0,70036.0,0.0,16.0,171620.0,1669.0,576016.0,1397453.0,412190.0,North America,2023-02-26
Fiji,68889,0.0,883.0,0.0,66850.0,0.0,1156.0,75747.0,971.0,668445.0,734986.0,909466.0,Australia/Oceania,2023-02-26
Madagascar,67865,13.0,1422.0,1.0,66433.0,6.0,10.0,2326.0,49.0,525461.0,18009.0,29178077.0,Africa,2023-02-26
Sudan,63787,0.0,5011.0,0.0,58438.0,0.0,338.0,1387.0,109.0,562941.0,12240.0,45992020.0,Africa,2023-02-26
Mauritania,63667,0.0,997.0,0.0,62439.0,0.0,231.0,12988.0,203.0,1009957.0,206030.0,4901981.0,Africa,2023-02-26
Cabo Verde,63240,0.0,413.0,0.0,62770.0,0.0,57.0,111401.0,728.0,401622.0,707482.0,567678.0,Africa,2023-02-26
Bhutan,62615,0.0,21.0,0.0,61564.0,0.0,1030.0,79467.0,27.0,2303734.0,2923739.0,787941.0,Asia,2023-02-26
Syria,57463,0.0,3164.0,0.0,54299.0,0.0,0.0,2967.0,163.0,146269.0,7553.0,19364809.0,Asia,2023-02-26
Burundi,53609,0.0,38.0,0.0,53569.0,0.0,2.0,4246.0,3.0,345742.0,27386.0,12624840.0,Africa,2023-02-26
Seychelles,50665,0.0,172.0,0.0,50440.0,0.0,53.0,509575.0,1730.0,0.0,0.0,99426.0,Africa,2023-02-26
Gabon,48981,0.0,306.0,0.0,48674.0,0.0,1.0,21008.0,131.0,1621909.0,695641.0,2331533.0,Africa,2023-02-26
Andorra,47866,0.0,165.0,0.0,47563.0,0.0,138.0,617921.0,2130.0,249838.0,3225256.0,77463.0,Europe,2023-02-26
Papua New Guinea,46792,0.0,670.0,0.0,43982.0,0.0,2140.0,5036.0,72.0,249149.0,26813.0,9292169.0,Australia/Oceania,2023-02-26
Curaçao,45986,0.0,295.0,0.0,44720.0,0.0,971.0,277812.0,1782.0,496693.0,3000640.0,165529.0,North America,2023-02-26
Aruba,44026,0.0,236.0,0.0,42438.0,0.0,1352.0,409129.0,2193.0,177885.0,1653068.0,107609.0,North America,2023-02-26
Tanzania,42823,0.0,846.0,0.0,,,,677.0,13.0,0.0,0.0,63298550.0,Africa,2023-02-26
Mayotte,42004,0.0,188.0,0.0,,,,146734.0,657.0,176919.0,618038.0,286259.0,Africa,2023-02-26
Mauritius,41717,0.0,1043.0,0.0,40012.0,0.0,662.0,32726.0,818.0,358675.0,281374.0,1274727.0,Africa,2023-02-26
Togo,39374,3.0,290.0,0.0,39074.0,0.0,10.0,4536.0,33.0,808113.0,93092.0,8680837.0,Africa,2023-02-26
Guinea,38267,0.0,467.0,0.0,37757.0,0.0,43.0,2760.0,34.0,660107.0,47607.0,13865691.0,Africa,2023-02-26
Isle of Man,38008,0.0,116.0,0.0,,,,443335.0,1353.0,150753.0,1758422.0,85732.0,Europe,2023-02-26
Bahamas,37491,0.0,833.0,0.0,36366.0,0.0,292.0,93607.0,2080.0,257839.0,643767.0,400516.0,North America,2023-02-26
Lesotho,34790,0.0,723.0,0.0,25980.0,0.0,8087.0,15990.0,332.0,431221.0,198199.0,2175699.0,Africa,2023-02-26
Faeroe Islands,34658,0.0,28.0,0.0,,,,703959.0,569.0,778000.0,15802409.0,49233.0,Europe,2023-02-26
Haiti,34143,0.0,860.0,0.0,33044.0,0.0,239.0,2923.0,74.0,132422.0,11337.0,11680283.0,North America,2023-02-26
Mali,32998,1.0,743.0,0.0,32074.0,3.0,181.0,1537.0,35.0,795295.0,37036.0,21473764.0,Africa,2023-02-26
Cayman Islands,31472,0.0,37.0,0.0,8553.0,0.0,22882.0,467797.0,550.0,222773.0,3311280.0,67277.0,North America,2023-02-26
Saint Lucia,29882,0.0,409.0,0.0,29095.0,0.0,378.0,161426.0,2209.0,210983.0,1139752.0,185113.0,North America,2023-02-26
Benin,27990,0.0,163.0,0.0,27825.0,0.0,2.0,2189.0,13.0,604310.0,47268.0,12784726.0,Africa,2023-02-26
Somalia,27324,0.0,1361.0,0.0,13182.0,0.0,12781.0,1622.0,81.0,400466.0,23778.0,16841795.0,Africa,2023-02-26
Congo,25375,0.0,386.0,0.0,24006.0,0.0,983.0,4377.0,67.0,347815.0,59991.0,5797805.0,Africa,2023-02-26
Solomon Islands,24575,0.0,153.0,0.0,,,,34077.0,212.0,0.0,0.0,721159.0,Australia/Oceania,2023-02-26
Micronesia,23671,0.0,60.0,0.0,,,,201474.0,511.0,54967.0,467848.0,117489.0,Australia/Oceania,2023-02-26
San Marino,23536,0.0,122.0,0.0,23276.0,0.0,138.0,690509.0,3579.0,157634.0,4624732.0,34085.0,Europe,2023-02-26
Timor-Leste,23418,0.0,138.0,0.0,23102.0,0.0,178.0,17101.0,101.0,278529.0,203391.0,1369429.0,Asia,2023-02-26
Burkina Faso,22056,0.0,396.0,0.0,21596.0,0.0,64.0,998.0,18.0,248995.0,11265.0,22102838.0,Africa,2023-02-26
Liechtenstein,21409,4.0,89.0,0.0,21288.0,2.0,32.0,557715.0,2318.0,112457.0,2929559.0,38387.0,Europe,2023-02-26
Gibraltar,20423,0.0,111.0,0.0,16579.0,0.0,3733.0,605952.0,3293.0,534283.0,15852213.0,33704.0,Europe,2023-02-26
Grenada,19680,0.0,238.0,0.0,19358.0,0.0,84.0,173430.0,2097.0,182981.0,1612523.0,113475.0,North America,2023-02-26
Bermuda,18799,0.0,160.0,0.0,18632.0,0.0,7.0,303508.0,2583.0,1027337.0,16586270.0,61939.0,North America,2023-02-26
Nicaragua,18491,0.0,225.0,0.0,4225.0,0.0,14041.0,2728.0,33.0,0.0,0.0,6779100.0,North America,2023-02-26
South Sudan,18368,0.0,138.0,0.0,18115.0,0.0,115.0,1581.0,12.0,410280.0,35313.0,11618511.0,Africa,2023-02-26
Tajikistan,17786,0.0,125.0,0.0,17264.0,0.0,397.0,1786.0,13.0,0.0,0.0,9957464.0,Asia,2023-02-26
Equatorial Guinea,17229,0.0,183.0,0.0,16907.0,0.0,139.0,11512.0,122.0,365697.0,244342.0,1496662.0,Africa,2023-02-26
Tonga,16801,0.0,13.0,0.0,15638.0,0.0,1150.0,155927.0,121.0,535009.0,4965327.0,107749.0,Australia/Oceania,2023-02-26
