#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
123.0,Uganda,170544,40.0,3630.0,,100431,,66483,3,3521.0,75.0,3012408.0,62198.0,48432863.0,Africa,08-03-2023
124.0,Jamaica,154287,91.0,3511.0,9.0,102393,,48383,,51686.0,1176.0,1183986.0,396633.0,2985094.0,North America,08-03-2023
125.0,Cambodia,138719,,3056.0,,135660,,3,,8080.0,178.0,3091420.0,180062.0,17168639.0,Asia,08-03-2023
126.0,Rwanda,133194,14.0,1468.0,,131647,+13,79,,9793.0,108.0,6021981.0,442778.0,13600464.0,Africa,08-03-2023
127.0,Cameroon,124392,,1965.0,,122344,,83,13,4457.0,70.0,1751774.0,62762.0,27911548.0,Africa,08-03-2023
128.0,Malta,117610,,828.0,,116117,,665,4,264868.0,1865.0,2119315.0,4772877.0,444033.0,Europe,08-03-2023
129.0,Barbados,106645,,575.0,,106057,,13,,370266.0,1996.0,794426.0,2758203.0,288023.0,North America,08-03-2023
130.0,Angola,105288,11.0,1933.0,,103342,+25,13,,3006.0,55.0,1499795.0,42818.0,35027343.0,Africa,08-03-2023
131.0,Channel Islands,101449,,227.0,,101091,,131,,574902.0,1286.0,1252808.0,7099551.0,176463.0,Europe,08-03-2023
132.0,French Guiana,98041,,420.0,,11254,,86367,6,312065.0,1337.0,651257.0,2072951.0,314169.0,South America,08-03-2023
133.0,DRC,95749,,1464.0,,84321,,9964,,1005.0,15.0,846704.0,8890.0,95240792.0,Africa,08-03-2023
134.0,Senegal,88926,5.0,1971.0,,86947,,8,,5037.0,112.0,1146543.0,64946.0,17653671.0,Africa,08-03-2023
135.0,Malawi,88707,5.0,2686.0,,85583,+3,438,67,4396.0,133.0,624784.0,30959.0,20180839.0,Africa,08-03-2023
136.0,Ivory Coast,88255,,834.0,,87397,,24,,3181.0,30.0,1680848.0,60588.0,27742298.0,Africa,08-03-2023
137.0,Suriname,82467,,1404.0,,-,-,-,,138175.0,2352.0,241357.0,404398.0,596831.0,South America,08-03-2023
138.0,New Caledonia,79881,,314.0,,79558,,9,9,274585.0,1079.0,98964.0,340182.0,290915.0,Australia/Oceania,08-03-2023
139.0,French Polynesia,78055,98.0,649.0,,-,-,-,7,274683.0,2284.0,,,284164.0,Australia/Oceania,08-03-2023
140.0,Eswatini,74267,,1425.0,,72795,,47,,62682.0,1203.0,1048704.0,885119.0,1184817.0,Africa,08-03-2023
141.0,Guyana,73075,,1298.0,,71756,,21,,92029.0,1635.0,722237.0,909567.0,794045.0,South America,08-03-2023
142.0,Belize,70757,,688.0,,70056,,13,6,171661.0,1669.0,576016.0,1397453.0,412190.0,North America,08-03-2023
143.0,Fiji,68897,,883.0,,66860,,1154,,75755.0,971.0,668967.0,735560.0,909466.0,Australia/Oceania,08-03-2023
144.0,Madagascar,67889,,1423.0,,66445,,21,,2327.0,49.0,526651.0,18050.0,29178077.0,Africa,08-03-2023
145.0,Sudan,63829,20.0,5017.0,4.0,58496,+28,316,,1388.0,109.0,562941.0,12240.0,45992020.0,Africa,08-03-2023
146.0,Mauritania,63668,,997.0,,62441,,230,,12988.0,203.0,1009957.0,206030.0,4901981.0,Africa,08-03-2023
147.0,Cabo Verde,63244,,413.0,,62773,,58,23,111408.0,728.0,401622.0,707482.0,567678.0,Africa,08-03-2023
148.0,Bhutan,62627,7.0,21.0,,61564,,1042,,79482.0,27.0,2303734.0,2923739.0,787941.0,Asia,08-03-2023
149.0,Syria,57467,,3164.0,,54303,,0,,2968.0,163.0,146269.0,7553.0,19364809.0,Asia,08-03-2023
150.0,Burundi,53631,,38.0,,53569,,24,,4248.0,3.0,345742.0,27386.0,12624840.0,Africa,08-03-2023
151.0,Seychelles,50665,,172.0,,50440,,53,,509575.0,1730.0,,,99426.0,Africa,08-03-2023
152.0,Gabon,48981,,306.0,,48674,,1,,21008.0,131.0,1621909.0,695641.0,2331533.0,Africa,08-03-2023
153.0,Andorra,47890,15.0,165.0,,47563,,162,14,618231.0,2130.0,249838.0,3225256.0,77463.0,Europe,08-03-2023
154.0,Papua New Guinea,46825,16.0,670.0,,43982,,2173,7,5039.0,72.0,249149.0,26813.0,9292169.0,Australia/Oceania,08-03-2023
155.0,Curaçao,45986,,295.0,,44720,,971,3,277812.0,1782.0,496693.0,3000640.0,165529.0,North America,08-03-2023
156.0,Aruba,44044,,236.0,,42438,,1370,2,409297.0,2193.0,177885.0,1653068.0,107609.0,North America,08-03-2023
