#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent
212,Turks and Caicos,6551,,38,,6491,,22,4,164842,956,611527,15387811,39741,North America
213,Sao Tome and Principe,6281,,77,,6204,,0,,27587,338,29036,127530,227679,Africa
214,Palau,5989,,9,,5976,,4,,328470,494,69136,3791806,18233,Australia/Oceania
215,St. Barth,5439,,6,,-,-,-,,546908,603,78646,7908095,9945,North America
216,Nauru,5247,,1,,5075,,171,,481244,92,20509,1881042,10903,Australia/Oceania
217,Kiribati,5013,,18,,2703,,2292,3,40618,146,,,123419,Australia/Oceania
218,Anguilla,3904,,12,,3879,,13,4,256336,788,51382,3373736,15230,North America
219,Macao,3514,,121,,3391,,2,,5264,181,7850,11760,667490,Asia
220,Saint Pierre Miquelon,3452,,2,,2449,,1001,1,599410,347,25400,4410488,5759,North America
221,Wallis and Futuna,3427,,7,,438,,2982,,312056,637,20508,1867419,10982,Australia/Oceania
222,Tuvalu,2805,,,,,,2805,,232471,,,,12066,Australia/Oceania
223,Saint Helena,2166,,,,2,,2164,,354211,,,,6115,Africa
224,Falkland Islands,1930,,,,1930,,0,,545352,,8632,2439107,3539,South America
225,Montserrat,1403,,8,,1376,,19,,282578,1611,17762,3577442,4965,North America
226,Niue,791,,,,790,+1,1,,487670,,,,1622,Australia/Oceania
227,Diamond Princess,712,,13,,699,,0,,,,,,,
228,Vatican City,29,,,,29,,0,,36295,,,,799,Europe
229,Western Sahara,10,,1,,9,,0,,16,2,,,626161,Africa
230,MS Zaandam,9,,2,,7,,0,,,,,,,
231,Tokelau,5,,,,,,5,,3628,,,,1378,Australia/Oceania
,Total:,680788906,+64785,6806351,+552,653647296,+117898,20335259,40671,87338.9,873.2,,,,All
