"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,DateCollected
Oman,399449,0.0,4628.0,0.0,384669.0,0.0,10152.0,75028.0,869.0,25000000.0,4695724.0,5323993.0,Asia,09-03-2023
North Macedonia,346852,0.0,9662.0,0.0,337068.0,0.0,122.0,166651.0,4642.0,2226216.0,1069626.0,2081304.0,Europe,09-03-2023
Zambia,343135,0.0,4057.0,0.0,338854.0,0.0,224.0,17624.0,208.0,3943335.0,202531.0,19470234.0,Africa,09-03-2023
Kenya,342937,0.0,5688.0,0.0,337222.0,0.0,27.0,6100.0,101.0,3967062.0,70569.0,56215221.0,Africa,09-03-2023
Albania,334457,14.0,3598.0,0.0,329195.0,10.0,1664.0,116683.0,1255.0,1941032.0,677173.0,2866374.0,Europe,09-03-2023
Botswana,329758,0.0,2801.0,0.0,326916.0,0.0,41.0,135082.0,1147.0,2026898.0,830300.0,2441162.0,Africa,09-03-2023
Luxembourg,297757,0.0,1133.0,0.0,288991.0,0.0,7633.0,463528.0,1764.0,4412567.0,6869188.0,642371.0,Europe,09-03-2023
Montenegro,288808,56.0,2808.0,0.0,285354.0,57.0,646.0,459922.0,4472.0,2723175.0,4336611.0,627950.0,Europe,09-03-2023
Brunei,279661,0.0,225.0,0.0,243601.0,0.0,35835.0,627844.0,505.0,717784.0,1611437.0,445431.0,Asia,09-03-2023
Algeria,271496,2.0,6881.0,0.0,182813.0,2.0,81802.0,5987.0,152.0,230861.0,5091.0,45350148.0,Africa,09-03-2023
Nigeria,266598,0.0,3155.0,0.0,259917.0,0.0,3526.0,1230.0,15.0,5708974.0,26339.0,216746934.0,Africa,09-03-2023
Zimbabwe,264276,0.0,5671.0,0.0,258184.0,0.0,421.0,17238.0,370.0,2525756.0,164744.0,15331428.0,Africa,09-03-2023
Uzbekistan,251247,0.0,1637.0,0.0,241486.0,0.0,8124.0,7307.0,48.0,1377915.0,40077.0,34382084.0,Asia,09-03-2023
Mozambique,233214,0.0,2242.0,0.0,228805.0,0.0,2167.0,7048.0,68.0,1371127.0,41437.0,33089461.0,Africa,09-03-2023
Martinique,229807,0.0,1098.0,0.0,,,,614314.0,2935.0,828928.0,2215870.0,374087.0,North America,09-03-2023
Laos,218023,0.0,758.0,0.0,,,,29143.0,101.0,1233207.0,164845.0,7481023.0,Asia,09-03-2023
Afghanistan,209482,31.0,7896.0,0.0,191280.0,8.0,10306.0,5140.0,194.0,1203807.0,29538.0,40754388.0,Asia,09-03-2023
Iceland,209137,0.0,229.0,0.0,,,,605504.0,663.0,1996384.0,5780036.0,345393.0,Europe,09-03-2023
Kyrgyzstan,206708,0.0,2991.0,0.0,196406.0,0.0,7311.0,30722.0,445.0,1907195.0,283460.0,6728271.0,Asia,09-03-2023
Guadeloupe,201886,0.0,1010.0,0.0,,,,504975.0,2526.0,938039.0,2346306.0,399794.0,North America,09-03-2023
El Salvador,201785,0.0,4230.0,0.0,179410.0,0.0,18145.0,30805.0,646.0,2610114.0,398467.0,6550389.0,North America,09-03-2023
Trinidad and Tobago,189918,0.0,4355.0,0.0,185101.0,0.0,462.0,135021.0,3096.0,900861.0,640460.0,1406585.0,North America,09-03-2023
Maldives,185738,0.0,311.0,0.0,163687.0,0.0,21740.0,343333.0,575.0,2213831.0,4092223.0,540985.0,Asia,09-03-2023
Ghana,171229,0.0,1462.0,0.0,169726.0,0.0,41.0,5286.0,45.0,2531089.0,78131.0,32395450.0,Africa,09-03-2023
